fid_1,id,Tree_name,DBH,Height,X,Y,Species,Comments,Stress_Ind,Dendromete,Leaf_sampl,SPAD,WP1,WP2,Name,descriptio,Spectro,Dend_code,layer,F_Weight,D_Weight,F_Weight_2,D_Weight_2,Dry_Weight,path
24,0.000000000000000, ,0.000000000000000,0.000000000000000,639530.755576439318247,3761315.356456882320344, ,Dead standing trunck. 3 m. Height,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
25,1.000000000000000,AP-P1-T2,36.032679999999999,22.677119999999999,639518.616961298976094,3761313.513799111824483, , ,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
26,0.000000000000000, ,0.000000000000000,0.000000000000000,639515.777516752365045,3761318.093466078862548, ,Dead standing tallest tree,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
27,0.000000000000000, ,0.000000000000000,0.000000000000000,664050.986136322258972,3746989.077353697270155, , ,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
28,0.000000000000000, ,0.000000000000000,0.000000000000000,664052.501523934770375,3746981.708245739340782, , ,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
29,0.000000000000000, ,0.000000000000000,0.000000000000000,664051.692223118967377,3746983.912861588876694, , ,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
30,1.000000000000000,AP-P2-T1,58.630000000000003,30.449999999999999,664050.793678190559149,3746991.292607006616890,Douglas Fir,Affected by fire. Leaves at the very top,6.000000000000000,92246646,1, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
31,0.000000000000000, ,0.000000000000000,0.000000000000000,664052.236975345644169,3746997.048808277584612, ,Ponderosa leaves on the top,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
32,1.000000000000000,AP-P2-T2,54.810000000000002,15.150000000000000,664143.795020579942502,3747090.514098010025918,White fir,Branches in the very top. Top broken,6.000000000000000,92246647,1, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
33,1.000000000000000,AP-P3-T1,28.649999999999999,20.699999999999999,649641.439760705688968,3748469.097908944357187,Cork bark fir,Yellow leaves,3.000000000000000,92246648,1, ,0.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000, 
