"","log.move","hr","Season","DayNight","Sex","Stage","julian","BearID","Year","BearIDYear"
"77",4.485947364,88,"Summer","Day","F","Fem",187,4021,2010,402110
"78",1.355835154,67,"Summer","Night","F","Fem",187,4021,2010,402110
"79",3.168129749,70,"Summer","Night","F","Fem",188,4021,2010,402110
"80",1.39475844,75,"Summer","Night","F","Fem",189,4021,2010,402110
"81",0.702106922,67,"Summer","Night","F","Fem",190,4021,2010,402110
"82",1.731832521,69,"Summer","Night","F","Fem",192,4021,2010,402110
"83",1.218171524,69,"Summer","Night","F","Fem",194,4021,2010,402110
"84",4.63682388,92,"Summer","Day","F","Fem",196,4021,2010,402110
"85",2.40107204,101,"Summer","Day","F","Fem",200,4021,2010,402110
"86",4.971034775,91,"Summer","Day","F","Fem",201,4021,2010,402110
"87",4.253582281,62,"Summer","Night","F","Fem",201,4021,2010,402110
"88",5.915482127,97,"Summer","Day","F","Fem",203,4021,2010,402110
"89",5.147889748,59,"Summer","Night","F","Fem",203,4021,2010,402110
"90",3.207774432,60,"Summer","Night","F","Fem",204,4021,2010,402110
"91",4.145101046,78,"Summer","Day","F","Fem",208,4021,2010,402110
"92",3.927167743,79,"Summer","Day","F","Fem",209,4021,2010,402110
"93",1.185706996,57,"Summer","Night","F","Fem",209,4021,2010,402110
"94",4.685145199,77,"Summer","Day","F","Fem",210,4021,2010,402110
"95",4.118598054,81,"Summer","Day","F","Fem",211,4021,2010,402110
"96",2.523886949,52,"Summer","Night","F","Fem",211,4021,2010,402110
"97",5.600109423,79,"Summer","Day","F","Fem",212,4021,2010,402110
"98",1.381533044,54,"Summer","Night","F","Fem",212,4021,2010,402110
"99",5.271079768,86,"Summer","Day","F","Fem",213,4021,2010,402110
"100",2.133929727,53,"Summer","Night","F","Fem",213,4021,2010,402110
"101",4.777475076,69,"Summer","Day","F","Fem",214,4021,2010,402110
"102",1.21045177,50,"Summer","Night","F","Fem",214,4021,2010,402110
"103",4.381288863,72,"Summer","Day","F","Fem",215,4021,2010,402110
"104",4.498442069,74,"Summer","Day","F","Fem",216,4021,2010,402110
"105",0.484892242,54,"Summer","Night","F","Fem",216,4021,2010,402110
"106",4.493825132,74,"Summer","Day","F","Fem",217,4021,2010,402110
"107",2.480814957,50,"Summer","Night","F","Fem",217,4021,2010,402110
"108",4.013748924,79,"Summer","Day","F","Fem",218,4021,2010,402110
"109",2.172818035,50,"Summer","Night","F","Fem",218,4021,2010,402110
"110",1.252191377,54,"Summer","Night","F","Fem",219,4021,2010,402110
"111",4.501918556,82,"Summer","Day","F","Fem",220,4021,2010,402110
"112",0.859085258,49,"Summer","Night","F","Fem",220,4021,2010,402110
"113",5.734373107,81,"Summer","Day","F","Fem",221,4021,2010,402110
"114",2.288790382,52,"Summer","Night","F","Fem",221,4021,2010,402110
"115",4.483251109,83,"Summer","Day","F","Fem",222,4021,2010,402110
"116",0.565313809,50,"Summer","Night","F","Fem",222,4021,2010,402110
"117",5.323044125,76,"Summer","Day","F","Fem",223,4021,2010,402110
"118",0.808705521,50,"Summer","Night","F","Fem",223,4021,2010,402110
"119",5.349480903,78,"Summer","Day","F","Fem",224,4021,2010,402110
"120",2.219638172,48,"Summer","Night","F","Fem",224,4021,2010,402110
"121",4.281916202,81,"Summer","Day","F","Fem",225,4021,2010,402110
"122",0.106160196,62,"Summer","Night","F","Fem",225,4021,2010,402110
"123",5.034716338,79,"Summer","Day","F","Fem",226,4021,2010,402110
"124",-2.302585093,80,"Summer","Day","F","Fem",227,4021,2010,402110
"125",1.280656029,60,"Summer","Night","F","Fem",227,4021,2010,402110
"126",4.187804547,77,"Summer","Day","F","Fem",228,4021,2010,402110
"127",2.394525967,65,"Summer","Night","F","Fem",228,4021,2010,402110
"128",3.852846085,78,"Summer","Day","F","Fem",229,4021,2010,402110
"129",2.478637037,72,"Summer","Night","F","Fem",229,4021,2010,402110
"130",4.621978138,80,"Summer","Day","F","Fem",230,4021,2010,402110
"131",3.387673005,66,"Summer","Night","F","Fem",230,4021,2010,402110
"132",5.881286892,78,"Summer","Day","F","Fem",231,4021,2010,402110
"133",4.483973832,64,"Summer","Night","F","Fem",231,4021,2010,402110
"134",5.336980232,85,"Summer","Day","F","Fem",232,4021,2010,402110
"135",3.513454064,75,"Summer","Night","F","Fem",232,4021,2010,402110
"136",5.893873769,85,"Summer","Day","F","Fem",233,4021,2010,402110
"137",3.872117258,90,"Summer","Day","F","Fem",234,4021,2010,402110
"138",5.422855314,84,"Summer","Day","F","Fem",235,4021,2010,402110
"139",5.655705056,83,"Summer","Night","F","Fem",235,4021,2010,402110
"140",4.658322252,77,"Summer","Day","F","Fem",236,4021,2010,402110
"141",4.245347436,79,"Summer","Night","F","Fem",236,4021,2010,402110
"142",5.790626615,78,"Summer","Day","F","Fem",237,4021,2010,402110
"143",1.071583616,87,"Summer","Night","F","Fem",237,4021,2010,402110
"144",5.768842735,85,"Summer","Day","F","Fem",238,4021,2010,402110
"145",4.956418432,85,"Summer","Night","F","Fem",238,4021,2010,402110
"146",5.600929923,90,"Summer","Day","F","Fem",239,4021,2010,402110
"147",5.267234253,84,"Summer","Night","F","Fem",239,4021,2010,402110
"148",4.263060086,90,"Summer","Day","F","Fem",240,4021,2010,402110
"149",5.993632196,84,"Summer","Day","F","Fem",241,4021,2010,402110
"150",4.935300929,94,"Summer","Night","F","Fem",241,4021,2010,402110
"151",4.631948427,83,"Summer","Day","F","Fem",242,4021,2010,402110
"152",4.627430575,88,"Summer","Day","F","Fem",243,4021,2010,402110
"153",5.608606952,85,"Summer","Day","F","Fem",244,4021,2010,402110
"154",3.008796563,87,"Fall","Day","F","Fem",245,4021,2010,402110
"155",3.6461807,83,"Fall","Day","F","Fem",246,4021,2010,402110
"156",1.598781332,89,"Fall","Night","F","Fem",246,4021,2010,402110
"157",2.597342079,83,"Fall","Day","F","Fem",247,4021,2010,402110
"158",5.162491916,81,"Fall","Day","F","Fem",248,4021,2010,402110
"159",4.799288553,85,"Fall","Night","F","Fem",248,4021,2010,402110
"160",1.714158223,84,"Fall","Day","F","Fem",250,4021,2010,402110
"161",4.486825743,85,"Fall","Day","F","Fem",251,4021,2010,402110
"162",5.217324207,95,"Fall","Day","F","Fem",252,4021,2010,402110
"163",4.818715824,88,"Fall","Night","F","Fem",252,4021,2010,402110
"164",5.468410291,90,"Fall","Day","F","Fem",253,4021,2010,402110
"165",5.257818237,84,"Fall","Night","F","Fem",253,4021,2010,402110
"166",5.159618359,82,"Fall","Day","F","Fem",254,4021,2010,402110
"167",3.449320657,90,"Fall","Night","F","Fem",254,4021,2010,402110
"168",2.102913898,86,"Fall","Day","F","Fem",256,4021,2010,402110
"169",2.311148324,84,"Fall","Day","F","Fem",257,4021,2010,402110
"170",2.795694711,81,"Fall","Day","F","Fem",260,4021,2010,402110
"171",2.560246006,85,"Fall","Day","F","Fem",261,4021,2010,402110
"172",5.284198158,79,"Fall","Day","F","Fem",262,4021,2010,402110
"173",2.031563461,83,"Fall","Day","F","Fem",263,4021,2010,402110
"174",2.086044693,73,"Fall","Day","F","Fem",264,4021,2010,402110
"175",1.77070606,73,"Fall","Day","F","Fem",268,4021,2010,402110
"176",0.960498987,82,"Fall","Day","F","Fem",269,4021,2010,402110
"177",3.293055223,75,"Fall","Day","F","Fem",270,4021,2010,402110
"178",1.999857062,93,"Fall","Night","F","Fem",270,4021,2010,402110
"179",0.113328685,78,"Fall","Day","F","Fem",271,4021,2010,402110
"180",6.115161174,66,"Fall","Day","F","Fem",272,4021,2010,402110
"181",4.501619143,65,"Fall","Day","F","Fem",273,4021,2010,402110
"182",-1.093624747,59,"Fall","Day","F","Fem",275,4021,2010,402110
"183",2.496176242,51,"Fall","Day","F","Fem",276,4021,2010,402110
"184",2.149200786,50,"Fall","Day","F","Fem",277,4021,2010,402110
"185",2.548663616,43,"Fall","Day","F","Fem",278,4021,2010,402110
"186",5.638831424,48,"Fall","Day","F","Fem",280,4021,2010,402110
"187",5.644495916,35,"Fall","Night","F","Fem",280,4021,2010,402110
"188",-0.375420987,36,"Fall","Day","F","Fem",282,4021,2010,402110
"189",2.371551297,41,"Fall","Day","F","Fem",283,4021,2010,402110
"190",1.79575149,29,"Fall","Day","F","Fem",284,4021,2010,402110
"191",1.943621819,40,"Fall","Day","F","Fem",285,4021,2010,402110
"192",0.745739631,29,"Fall","Day","F","Fem",286,4021,2010,402110
"193",3.928250623,30,"Spring","Day","M","Male",91,4041,2009,404109
"194",0.43567095,46,"Spring","Day","M","Male",92,4041,2009,404109
"195",1.515566697,38,"Spring","Day","M","Male",93,4041,2009,404109
"196",1.37775803,29,"Spring","Night","M","Male",93,4041,2009,404109
"197",3.433470942,35,"Spring","Day","M","Male",94,4041,2009,404109
"198",-0.796287939,30,"Spring","Day","M","Male",95,4041,2009,404109
"199",-1.044124103,49,"Spring","Night","M","Male",95,4041,2009,404109
"200",0.222343231,28,"Spring","Day","M","Male",96,4041,2009,404109
"201",-0.358104537,25,"Spring","Night","M","Male",96,4041,2009,404109
"202",-0.424647928,28,"Spring","Day","M","Male",97,4041,2009,404109
"203",-1.386294361,28,"Spring","Day","M","Male",98,4041,2009,404109
"204",0.583332315,24,"Spring","Night","M","Male",98,4041,2009,404109
"205",-0.06720875,29,"Spring","Day","M","Male",99,4041,2009,404109
"206",0.361861471,28,"Spring","Day","M","Male",100,4041,2009,404109
"207",0.799756916,25,"Spring","Night","M","Male",100,4041,2009,404109
"208",0.678033543,29,"Spring","Day","M","Male",101,4041,2009,404109
"209",0.702106922,31,"Spring","Day","M","Male",102,4041,2009,404109
"210",-0.349557476,25,"Spring","Night","M","Male",102,4041,2009,404109
"211",0.048790164,29,"Spring","Day","M","Male",103,4041,2009,404109
"212",6.84569156,25,"Spring","Night","M","Male",103,4041,2009,404109
"213",0.559615788,34,"Spring","Day","M","Male",104,4041,2009,404109
"214",-0.176737179,33,"Spring","Day","M","Male",105,4041,2009,404109
"215",1.158138268,28,"Spring","Night","M","Male",105,4041,2009,404109
"216",2.732872887,28,"Spring","Day","M","Male",106,4041,2009,404109
"217",1.863304636,39,"Spring","Day","M","Male",107,4041,2009,404109
"218",0.924258902,68,"Spring","Night","M","Male",107,4041,2009,404109
"219",-0.581605806,39,"Spring","Day","M","Male",108,4041,2009,404109
"220",0.062974799,43,"Spring","Day","M","Male",109,4041,2009,404109
"221",-0.239527031,38,"Spring","Night","M","Male",109,4041,2009,404109
"222",2.623726119,48,"Spring","Day","M","Male",110,4041,2009,404109
"223",-0.701179352,42,"Spring","Night","M","Male",110,4041,2009,404109
"224",1.326278929,58,"Spring","Day","M","Male",111,4041,2009,404109
"225",1.18111351,41,"Spring","Day","M","Male",112,4041,2009,404109
"226",1.803852717,79,"Spring","Night","M","Male",112,4041,2009,404109
"227",1.799396896,38,"Spring","Day","M","Male",113,4041,2009,404109
"228",3.058425343,36,"Spring","Day","M","Male",114,4041,2009,404109
"229",0.107059072,32,"Spring","Night","M","Male",114,4041,2009,404109
"230",2.370897733,36,"Spring","Day","M","Male",115,4041,2009,404109
"231",1.246169853,32,"Spring","Day","M","Male",116,4041,2009,404109
"232",2.7148934,30,"Spring","Night","M","Male",116,4041,2009,404109
"233",2.315106374,35,"Spring","Night","M","Male",117,4041,2009,404109
"234",1.08180517,35,"Spring","Day","M","Male",118,4041,2009,404109
"235",1.015592933,38,"Spring","Day","M","Male",119,4041,2009,404109
"236",1.866557679,33,"Spring","Night","M","Male",119,4041,2009,404109
"237",1.365070725,38,"Spring","Day","M","Male",120,4041,2009,404109
"238",2.891704203,33,"Spring","Day","M","Male",121,4041,2009,404109
"239",4.156834111,36,"Spring","Day","M","Male",122,4041,2009,404109
"240",3.993492387,47,"Spring","Night","M","Male",122,4041,2009,404109
"241",5.075242563,40,"Spring","Day","M","Male",123,4041,2009,404109
"242",5.343587055,47,"Spring","Day","M","Male",124,4041,2009,404109
"243",3.384085132,42,"Spring","Night","M","Male",125,4041,2009,404109
"244",1.360976553,52,"Spring","Day","M","Male",126,4041,2009,404109
"245",2.77689195,45,"Spring","Day","M","Male",127,4041,2009,404109
"246",0.931770303,55,"Spring","Day","M","Male",129,4041,2009,404109
"247",7.008312578,60,"Spring","Night","M","Male",129,4041,2009,404109
"248",-0.390084006,46,"Spring","Day","M","Male",131,4041,2009,404109
"249",1.11317244,48,"Spring","Night","M","Male",132,4041,2009,404109
"250",4.053939148,51,"Spring","Day","M","Male",133,4041,2009,404109
"251",4.180002246,53,"Spring","Day","M","Male",134,4041,2009,404109
"252",6.209931179,67,"Spring","Day","M","Male",135,4041,2009,404109
"253",3.380756551,67,"Spring","Day","M","Male",136,4041,2009,404109
"254",5.596123022,53,"Spring","Night","M","Male",136,4041,2009,404109
"255",5.154758726,61,"Spring","Day","M","Male",138,4041,2009,404109
"256",5.522863933,66,"Spring","Day","M","Male",139,4041,2009,404109
"257",0.911077165,45,"Spring","Night","M","Male",139,4041,2009,404109
"258",1.620773422,45,"Spring","Night","M","Male",141,4041,2009,404109
"259",4.545982656,70,"Spring","Day","M","Male",142,4041,2009,404109
"260",1.473159894,71,"Spring","Day","M","Male",144,4041,2009,404109
"261",5.971927435,57,"Spring","Day","M","Male",145,4041,2009,404109
"262",0.907855253,49,"Spring","Night","M","Male",146,4041,2009,404109
"263",2.014502941,48,"Spring","Night","M","Male",148,4041,2009,404109
"264",6.186148951,66,"Spring","Day","M","Male",149,4041,2009,404109
"265",2.178947453,65,"Spring","Day","M","Male",150,4041,2009,404109
"266",6.298002107,61,"Spring","Day","M","Male",151,4041,2009,404109
"267",5.250014334,70,"Spring","Day","M","Male",152,4041,2009,404109
"268",3.340456086,74,"Spring","Day","M","Male",153,4041,2009,404109
"269",6.081684521,67,"Spring","Day","M","Male",154,4041,2009,404109
"270",1.826643871,47,"Spring","Night","M","Male",154,4041,2009,404109
"271",5.952726318,70,"Spring","Day","M","Male",155,4041,2009,404109
"272",5.173252885,66,"Spring","Day","M","Male",156,4041,2009,404109
"273",6.146258591,85,"Spring","Day","M","Male",158,4041,2009,404109
"274",2.709515793,61,"Spring","Night","M","Male",158,4041,2009,404109
"275",3.402063673,74,"Spring","Day","M","Male",159,4041,2009,404109
"276",2.784270227,51,"Spring","Night","M","Male",159,4041,2009,404109
"277",1.258176858,47,"Spring","Night","M","Male",161,4041,2009,404109
"278",1.542656879,55,"Spring","Night","M","Male",163,4041,2009,404109
"279",4.26665787,66,"Spring","Day","M","Male",164,4041,2009,404109
"280",5.46816984,65,"Spring","Day","M","Male",165,4041,2009,404109
"281",4.452450149,50,"Spring","Night","M","Male",166,4041,2009,404109
"282",7.213730016,72,"Spring","Day","M","Male",167,4041,2009,404109
"283",6.580644685,65,"Spring","Day","M","Male",168,4041,2009,404109
"284",5.403240286,66,"Spring","Day","M","Male",169,4041,2009,404109
"285",1.598579169,58,"Spring","Day","M","Male",170,4041,2009,404109
"286",6.360939717,69,"Spring","Day","M","Male",171,4041,2009,404109
"287",5.185523738,69,"Spring","Day","M","Male",172,4041,2009,404109
"288",5.175686348,66,"Spring","Day","M","Male",173,4041,2009,404109
"289",5.168157427,53,"Spring","Night","M","Male",173,4041,2009,404109
"290",3.610593536,70,"Spring","Day","M","Male",174,4041,2009,404109
"291",7.029084021,58,"Spring","Night","M","Male",175,4041,2009,404109
"292",1.101940079,54,"Spring","Day","M","Male",176,4041,2009,404109
"293",4.415292151,58,"Spring","Day","M","Male",177,4041,2009,404109
"294",6.834419778,73,"Spring","Night","M","Male",177,4041,2009,404109
"295",5.474629235,62,"Spring","Day","M","Male",178,4041,2009,404109
"296",7.589760114,69,"Spring","Day","M","Male",181,4041,2009,404109
"297",6.665245405,79,"Spring","Day","M","Male",182,4041,2009,404109
"298",5.086101391,77,"Summer","Day","M","Male",183,4041,2009,404109
"299",6.819647301,65,"Summer","Day","M","Male",184,4041,2009,404109
"300",4.269627517,68,"Summer","Day","M","Male",185,4041,2009,404109
"301",5.584011214,76,"Summer","Day","M","Male",186,4041,2009,404109
"302",6.15631775,81,"Summer","Day","M","Male",187,4041,2009,404109
"303",3.14729389,66,"Summer","Day","M","Male",188,4041,2009,404109
"304",7.312351343,89,"Summer","Night","M","Male",188,4041,2009,404109
"305",6.193811337,68,"Summer","Day","M","Male",189,4041,2009,404109
"306",1.918538952,66,"Summer","Day","M","Male",190,4041,2009,404109
"307",5.027059673,68,"Summer","Day","M","Male",192,4041,2009,404109
"308",0.584447764,53,"Summer","Night","M","Male",192,4041,2009,404109
"309",5.795857123,85,"Summer","Day","M","Male",194,4041,2009,404109
"310",2.81186953,74,"Summer","Day","M","Male",195,4041,2009,404109
"311",4.825549921,80,"Summer","Night","M","Male",195,4041,2009,404109
"312",0.806029338,74,"Summer","Day","M","Male",196,4041,2009,404109
"313",5.378633883,76,"Summer","Day","M","Male",197,4041,2009,404109
"314",3.856362293,75,"Summer","Day","M","Male",198,4041,2009,404109
"315",7.018157365,92,"Summer","Night","M","Male",199,4041,2009,404109
"316",3.541422985,69,"Summer","Day","M","Male",200,4041,2009,404109
"317",5.962756383,73,"Summer","Day","M","Male",202,4041,2009,404109
"318",7.484692186,73,"Summer","Night","M","Male",202,4041,2009,404109
"319",4.445036644,79,"Summer","Day","M","Male",204,4041,2009,404109
"320",1.390037347,79,"Summer","Night","M","Male",204,4041,2009,404109
"321",5.706954106,74,"Summer","Day","M","Male",206,4041,2009,404109
"322",2.397076756,74,"Summer","Day","M","Male",209,4041,2009,404109
"323",1.506297154,57,"Summer","Night","M","Male",209,4041,2009,404109
"324",5.559696531,84,"Summer","Day","M","Male",211,4041,2009,404109
"325",1.45395301,57,"Summer","Night","M","Male",211,4041,2009,404109
"326",6.563573399,88,"Summer","Day","M","Male",212,4041,2009,404109
"327",5.669332497,89,"Summer","Day","M","Male",213,4041,2009,404109
"328",0.913887847,57,"Summer","Night","M","Male",213,4041,2009,404109
"329",5.903905748,86,"Summer","Day","M","Male",214,4041,2009,404109
"330",0.896904018,57,"Summer","Night","M","Male",214,4041,2009,404109
"331",5.337215912,83,"Summer","Day","M","Male",215,4041,2009,404109
"332",3.002310589,55,"Summer","Night","M","Male",215,4041,2009,404109
"333",2.298476665,60,"Summer","Night","M","Male",217,4041,2009,404109
"334",2.500944027,55,"Summer","Night","M","Male",219,4041,2009,404109
"335",6.477895014,83,"Summer","Day","M","Male",220,4041,2009,404109
"336",0.400787519,62,"Summer","Night","M","Male",222,4041,2009,404109
"337",4.754021133,87,"Summer","Day","M","Male",223,4041,2009,404109
"338",1.451847992,88,"Summer","Day","M","Male",224,4041,2009,404109
"339",0.377065634,91,"Summer","Day","M","Male",225,4041,2009,404109
"340",4.891213416,90,"Summer","Day","M","Male",226,4041,2009,404109
"341",4.107540446,102,"Summer","Night","M","Male",226,4041,2009,404109
"342",4.661805685,83,"Summer","Day","M","Male",227,4041,2009,404109
"343",5.558564006,73,"Summer","Day","M","Male",228,4041,2009,404109
"344",4.213829852,97,"Summer","Night","M","Male",228,4041,2009,404109
"345",3.450717438,85,"Summer","Day","M","Male",229,4041,2009,404109
"346",-2.302585093,100,"Summer","Night","M","Male",229,4041,2009,404109
"347",4.535037379,86,"Summer","Day","M","Male",230,4041,2009,404109
"348",5.80882694,80,"Summer","Day","M","Male",232,4041,2009,404109
"349",4.122608027,105,"Summer","Night","M","Male",233,4041,2009,404109
"350",3.640240529,106,"Summer","Night","M","Male",235,4041,2009,404109
"351",2.270991221,89,"Summer","Day","M","Male",236,4041,2009,404109
"352",1.25732398,107,"Summer","Night","M","Male",236,4041,2009,404109
"353",6.302705053,107,"Summer","Night","M","Male",238,4041,2009,404109
"354",5.556692917,80,"Summer","Day","M","Male",239,4041,2009,404109
"355",5.584075089,77,"Summer","Day","M","Male",240,4041,2009,404109
"356",4.705178404,99,"Summer","Night","M","Male",240,4041,2009,404109
"357",6.183086471,69,"Summer","Day","M","Male",241,4041,2009,404109
"358",3.521584431,81,"Summer","Day","M","Male",242,4041,2009,404109
"359",4.724303421,96,"Summer","Night","M","Male",242,4041,2009,404109
"360",6.180109817,69,"Summer","Day","M","Male",243,4041,2009,404109
"361",6.106887021,98,"Summer","Night","M","Male",243,4041,2009,404109
"362",2.379823873,76,"Summer","Day","M","Male",244,4041,2009,404109
"363",2.854687008,84,"Fall","Day","M","Male",245,4041,2009,404109
"364",7.793755449,101,"Fall","Night","M","Male",246,4041,2009,404109
"365",5.023610748,60,"Fall","Day","M","Male",247,4041,2009,404109
"366",2.270165202,57,"Fall","Day","M","Male",248,4041,2009,404109
"367",5.53885673,75,"Fall","Night","M","Male",248,4041,2009,404109
"368",3.743296614,59,"Fall","Day","M","Male",249,4041,2009,404109
"369",3.99595966,60,"Fall","Day","M","Male",250,4041,2009,404109
"370",4.36901738,61,"Fall","Night","M","Male",251,4041,2009,404109
"371",0.66423317,54,"Fall","Day","M","Male",252,4041,2009,404109
"372",-0.274436846,47,"Fall","Day","M","Male",253,4041,2009,404109
"373",8.001813882,86,"Fall","Night","M","Male",253,4041,2009,404109
"374",5.61892514,47,"Fall","Day","M","Male",254,4041,2009,404109
"375",2.632895528,55,"Fall","Day","M","Male",255,4041,2009,404109
"376",7.029616211,75,"Fall","Night","M","Male",255,4041,2009,404109
"377",1.517980302,48,"Fall","Day","M","Male",256,4041,2009,404109
"378",0.744790414,52,"Fall","Day","M","Male",257,4041,2009,404109
"379",2.553421629,48,"Fall","Day","M","Male",258,4041,2009,404109
"380",4.046414028,53,"Fall","Day","M","Male",259,4041,2009,404109
"381",5.744598069,50,"Fall","Day","M","Male",260,4041,2009,404109
"382",1.156252068,63,"Fall","Day","M","Male",262,4041,2009,404109
"383",2.803239161,56,"Fall","Night","M","Male",262,4041,2009,404109
"384",4.793506948,44,"Spring","Day","M","Male",98,4055,2010,405510
"385",0.726581957,31,"Spring","Night","M","Male",98,4055,2010,405510
"386",0.405465108,59,"Spring","Day","M","Male",99,4055,2010,405510
"387",3.210924295,44,"Spring","Day","M","Male",100,4055,2010,405510
"388",1.322022471,69,"Spring","Night","M","Male",100,4055,2010,405510
"389",2.473424313,45,"Spring","Day","M","Male",101,4055,2010,405510
"390",2.447118244,34,"Spring","Night","M","Male",101,4055,2010,405510
"391",2.060895624,42,"Spring","Day","M","Male",102,4055,2010,405510
