PLOT,Tree_name,DBH,Height,Species,SP_CODE,Stress_Level,REPS,Level,WP,FW,DW,TW,LWC,RWC,Time,Year,Dendrometer
FR,FR-P2-T3,98.68,26.3652,Pinus Ponderosa,PIPO,1,1,L1,2.291,0.5144,0.2619,0.5476,0.490863142,0.88379419,Mid_Day,2024,92240314
FR,FR-P2-T3,98.68,26.3652,Pinus Ponderosa,PIPO,1,1,L2,2.992,0.655,0.3183,0.6849,0.514045802,0.918439716,Mid_Day,2024,92240314
FR,FR-P3-T1,48.61,14.3764,Douglas fir,PSME,6,1,L1,1.556,7.6503,3.1659,8.2279,0.586173091,0.885894903,Mid_Day,2024,92240315
FR,FR-P3-T1,48.61,14.3764,Douglas fir,PSME,6,1,L2,1.612,7.2608,3.7035,7.4486,0.489932239,0.949854477,Mid_Day,2024,92240315
FR,FR-P3-T2,56.37,11.8872,Douglas fir,PSME,10,1,L1,1.876,20.129,9.392,21.1928,0.533409509,0.909853569,Mid_Day,2024,92240324
FR,FR-P3-T2,56.37,11.8872,Douglas fir,PSME,10,1,L2,1.794,7.9887,3.5596,8.194,0.554420619,0.955700846,Mid_Day,2024,92240324
FR,FR-P3-T3,63.66,14.351,Southwest White pine,PIST,9,1,L1,2.39,4.9979,2.1226,5.586,0.575301627,0.830195761,Mid_Day,2024,92240331
FR,FR-P3-T3,63.66,14.351,Southwest White pine,PIST,9,1,L2,2.396,1.8008,0.7617,2.0227,0.577021324,0.824028549,Mid_Day,2024,92240331
FR,FR-P4-T1,63.73,19.812,Pinus Ponderosa,PIPO,4,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240325
FR,FR-P4-T1,63.73,19.812,Pinus Ponderosa,PIPO,4,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240325
FR,FR-P4-T2,63.73,20.9042,Pinus Ponderosa,PIPO,3,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246690
FR,FR-P4-T2,63.73,20.9042,Pinus Ponderosa,PIPO,3,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246690
FR,FR-P5-T1,48.8,25.146,Quaking Aspen,POTR,3,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246688
FR,FR-P5-T1,48.8,25.146,Quaking Aspen,POTR,3,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246688
FR,FR-P5-T2,44.34,29.5656,Quaking Aspen,POTR,9,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246689
FR,FR-P5-T2,44.34,29.5656,Quaking Aspen,POTR,9,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92246689
JD,JD-P25-T1,29.189,2.4,Juniper monosperm,JUMO,5,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240333
JD,JD-P25-T1,29.189,2.4,Juniper monosperm,JUMO,5,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240333
JD,JD-P25-T2,13.051,3.42,Juniper monosperm,JUMO,9,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240358
JD,JD-P25-T2,13.051,3.42,Juniper monosperm,JUMO,9,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240358
JD,JD-P25-T3,9.868,3.68,Juniper monosperm,JUMO,7,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240370
JD,JD-P25-T3,9.868,3.68,Juniper monosperm,JUMO,7,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240370
JD,JD-P7-T1,23.873,3.4,Pinyon Pine,PIED,10,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240360
JD,JD-P7-T1,23.873,3.4,Pinyon Pine,PIED,10,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240360
JD,JD-P7-T2,15.597,3.85,Juniper monosperm,JUMO,10,1,L1,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240361
JD,JD-P7-T2,15.597,3.85,Juniper monosperm,JUMO,10,1,L2,NA,NA,NA,NA,NA,NA,Mid_Day,2024,92240361
KB,KB-P1-T1,67.83,32.126,Blue spruce,PIPU,9,1,L1,2.48,16.17,10.0163,NA,0.380562771,NA,Mid_Day,2024,92246653
KB,KB-P1-T1,67.83,32.126,Blue spruce,PIPU,9,1,L2,2.938,11.22,7.5319,NA,0.328707665,NA,Mid_Day,2024,92246653
KB,KB-P1-T2,73.18,38.07,Blue spruce,PIPU,4,1,L1,1.854,3.76,1.6686,NA,0.556223404,NA,Mid_Day,2024,92246655
KB,KB-P1-T2,73.18,38.07,Blue spruce,PIPU,4,1,L2,1.76,7.37,3.9576,NA,0.463012212,NA,Mid_Day,2024,92246655
KB,KB-P1-T3,47.56,19.751,Quaking Aspen,POTR,9,1,L1,3.52,3.25,1.7209,NA,0.470492308,NA,Mid_Day,2024,92246654
KB,KB-P1-T3,47.56,19.751,Quaking Aspen,POTR,9,1,L2,3.958,3.57,1.5435,NA,0.567647059,NA,Mid_Day,2024,92246654
KB,KB-P1-T4,31.29,17.587,Corkbark fir,ABLA,5,1,L1,1.59,10.01,5.1742,NA,0.483096903,NA,Mid_Day,2024,92246652
